Id,Abstract,Task 1
D02347,"Due to the ubiquity of batch data processing in cloud computing, the related problem of scheduling malleable batch tasks and its extensions have received significant attention recently.$$$In this paper, we consider a fundamental model where a set of n tasks is to be processed on C identical machines and each task is specified by a value, a workload, a deadline and a parallelism bound.$$$Within the parallelism bound, the number of machines assigned to a task can vary over time without affecting its workload.$$$For this model, we obtain two core results: a sufficient and necessary condition such that a set of tasks can be finished by their deadlines on C machines, and an algorithm to produce such a schedule.$$$These core results provide a conceptual tool and an optimal scheduling algorithm that enable proposing new algorithmic analysis and design and improving existing algorithms under various objectives.",BACKGROUND/OBJECTIVES OBJECTIVES OBJECTIVES RESULTS OBJECTIVES/RESULTS/CONCLUSIONS
D05562,"Distributed parameter estimation for large-scale systems is an active research problem.$$$The goal is to derive a distributed algorithm in which each agent obtains a local estimate of its own subset of the global parameter vector, based on local measurements as well as information received from its neighbours.$$$A recent algorithm has been proposed, which yields the optimal solution (i.e., the one that would be obtained using a centralized method) in finite time, provided the communication network forms an acyclic graph.$$$If instead, the graph is cyclic, the only available alternative algorithm, which is based on iterative matrix inversion, achieving the optimal solution, does so asymptotically.$$$However, it is also known that, in the cyclic case, the algorithm designed for acyclic graphs produces a solution which, although non optimal, is highly accurate.$$$In this paper we do a theoretical study of the accuracy of this algorithm, in communication networks forming cyclic graphs.$$$To this end, we provide bounds for the sub-optimality of the estimation error and the estimation error covariance, for a class of systems whose topological sparsity and signal-to-noise ratio satisfy certain condition.$$$Our results show that, at each node, the accuracy improves exponentially with the so-called loop-free depth.$$$Also, although the algorithm no longer converges in finite time in the case of cyclic graphs, simulation results show that the convergence is significantly faster than that of methods based on iterative matrix inversion.$$$Our results suggest that, depending on the loop-free depth, the studied algorithm may be the preferred option even in applications with cyclic communication graphs.",BACKGROUND OBJECTIVES BACKGROUND BACKGROUND RESULTS OBJECTIVES METHODS RESULTS RESULTS RESULTS
D06955,"Event-based state estimation can achieve estimation quality comparable to traditional time-triggered methods, but with a significantly lower number of samples.$$$In networked estimation problems, this reduction in sampling instants does, however, not necessarily translate into better usage of the shared communication resource.$$$Because typical event-based approaches decide instantaneously whether communication is needed or not, free slots cannot be reallocated immediately, and hence remain unused.$$$In this paper, novel predictive and self triggering protocols are proposed, which give the communication system time to adapt and reallocate freed resources.$$$From a unified Bayesian decision framework, two schemes are developed: self-triggers that predict, at the current triggering instant, the next one; and predictive triggers that indicate, at every time step, whether communication will be needed at a given prediction horizon.$$$The effectiveness of the proposed triggers in trading off estimation quality for communication reduction is compared in numerical simulations.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS
D04319,"Bibliometric methods are used in multiple fields for a variety of purposes, namely for research evaluation.$$$Most bibliometric analyses have in common their data sources: Thomson Reuters' Web of Science (WoS) and Elsevier's Scopus.$$$This research compares the journal coverage of both databases in terms of fields, countries and languages, using Ulrich's extensive periodical directory as a base for comparison.$$$Results indicate that the use of either WoS or Scopus for research evaluation may introduces biases that favor Natural Sciences and Engineering as well as Biomedical Research to the detriment of Social Sciences and Arts and Humanities.$$$Similarly, English-language journals are overrepresented to the detriment of other languages.$$$While both databases share these biases, their coverage differs substantially.$$$As a consequence, the results of bibliometric analyses may vary depending on the database used.",BACKGROUND BACKGROUND OBJECTIVES RESULTS RESULTS RESULTS CONCLUSIONS
D02104,"We present an algorithm that incorporates a tabu search procedure into the framework of path relinking to tackle the job shop scheduling problem (JSP).$$$This tabu search/path relinking (TS/PR) algorithm comprises several distinguishing features, such as a specific relinking procedure and a reference solution determination method.$$$To test the performance of TS/PR, we apply it to tackle almost all of the benchmark JSP instances available in the literature.$$$The test results show that TS/PR obtains competitive results compared with state-of-the-art algorithms for JSP in the literature, demonstrating its efficacy in terms of both solution quality and computational efficiency.$$$In particular, TS/PR is able to improve the upper bounds for 49 out of the 205 tested instances and it solves a challenging instance that has remained unsolved for over 20 years.",BACKGROUND METHODS RESULTS CONCLUSIONS RESULTS
D02360,"In this work, we present the Grounded Recurrent Neural Network (GRNN), a recurrent neural network architecture for multi-label prediction which explicitly ties labels to specific dimensions of the recurrent hidden state (we call this process ""grounding"").$$$The approach is particularly well-suited for extracting large numbers of concepts from text.$$$We apply the new model to address an important problem in healthcare of understanding what medical concepts are discussed in clinical text.$$$Using a publicly available dataset derived from Intensive Care Units, we learn to label a patient's diagnoses and procedures from their discharge summary.$$$Our evaluation shows a clear advantage to using our proposed architecture over a variety of strong baselines.",OBJECTIVES/CONCLUSIONS OTHERS METHODS METHODS RESULTS
D05941,"Chirality plays an important role in physics, chemistry, biology, and other fields.$$$It describes an essential symmetry in structure.$$$However, chirality invariants are usually complicated in expression or difficult to evaluate.$$$In this paper, we present five general three-dimensional chirality invariants based on the generating functions.$$$And the five chiral invariants have four characteristics:(1) They play an important role in the detection of symmetry, especially in the treatment of 'false zero' problem.$$$(2) Three of the five chiral invariants decode an universal chirality index.$$$(3) Three of them are proposed for the first time.$$$(4) The five chiral invariants have low order no bigger than 4, brief expression, low time complexity O(n) and can act as descriptors of three-dimensional objects in shape analysis.$$$The five chiral invariants give a geometric view to study the chiral invariants.$$$And the experiments show that the five chirality invariants are effective and efficient, they can be used as a tool for symmetry detection or features in shape analysis.",BACKGROUND BACKGROUND BACKGROUND RESULTS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS
D00597,"Inspired by CapsNet's routing-by-agreement mechanism, with its ability to learn object properties, and by center-of-mass calculations from physics, we propose a CapsNet architecture with object coordinate atoms and an LSTM network for evaluation.$$$The first is based on CapsNet but uses a new routing algorithm to find the objects' approximate positions in the image coordinate system, and the second is a parameterized affine transformation network that can predict future positions from past positions by learning the translation transformation from 2D object coordinates generated from the first network.$$$We demonstrate the learned translation transformation is transferable to another dataset without the need to train the transformation network again.$$$Only the CapsNet needs training on the new dataset.$$$As a result, our work shows that object recognition and motion prediction can be separated, and that motion prediction can be transferred to another dataset with different object types.",BACKGROUND METHODS RESULTS CONCLUSIONS CONCLUSIONS
D00165,"This paper investigates and evaluates support vector machine active learning algorithms for use with imbalanced datasets, which commonly arise in many applications such as information extraction applications.$$$Algorithms based on closest-to-hyperplane selection and query-by-committee selection are combined with methods for addressing imbalance such as positive amplification based on prevalence statistics from initial random samples.$$$Three algorithms (ClosestPA, QBagPA, and QBoostPA) are presented and carefully evaluated on datasets for text classification and relation extraction.$$$The ClosestPA algorithm is shown to consistently outperform the other two in a variety of ways and insights are provided as to why this is the case.",BACKGROUND/OBJECTIVES/METHODS METHODS OBJECTIVES/METHODS RESULTS/CONCLUSIONS
D01693,"To overcome the tradeoff of the conventional normalized least mean square (NLMS) algorithm between fast convergence rate and low steady-state misalignment, this paper proposes a variable step size (VSS) NLMS algorithm by devising a new strategy to update the step size.$$$In this strategy, the input signal power and the cross-correlation between the input signal and the error signal are used to estimate the true tracking error power, reducing the effect of the system noise on the algorithm performance.$$$Moreover, the steady-state performances of the algorithm are provided for Gaussian white input signal and are verified by simulations.$$$Finally, simulation results in the context of the system identification and acoustic echo cancellation (AEC) have demonstrated that the proposed algorithm has lower steady-state misalignment than other VSS algorithms.",BACKGROUND METHODS OBJECTIVES RESULTS
D06450,"In this paper, we propose a novel fully convolutional two-stream fusion network (FCTSFN) for interactive image segmentation.$$$The proposed network includes two sub-networks: a two-stream late fusion network (TSLFN) that predicts the foreground at a reduced resolution, and a multi-scale refining network (MSRN) that refines the foreground at full resolution.$$$The TSLFN includes two distinct deep streams followed by a fusion network.$$$The intuition is that, since user interactions are more direct information on foreground/background than the image itself, the two-stream structure of the TSLFN reduces the number of layers between the pure user interaction features and the network output, allowing the user interactions to have a more direct impact on the segmentation result.$$$The MSRN fuses the features from different layers of TSLFN with different scales, in order to seek the local to global information on the foreground to refine the segmentation result at full resolution.$$$We conduct comprehensive experiments on four benchmark datasets.$$$The results show that the proposed network achieves competitive performance compared to current state-of-the-art interactive image segmentation methods",OBJECTIVES METHODS METHODS METHODS METHODS RESULTS RESULTS
D02845,"In this paper, the problem of secure transmission of sensitive contents over the public network Internet is addressed by proposing a novel data hiding method in encrypted images with dual-level security.$$$The secret information is divided into three blocks using a specific pattern, followed by an encryption mechanism based on the three-level encryption algorithm (TLEA).$$$The input image is scrambled using a secret key, and the encrypted sub-message blocks are then embedded in the scrambled image by cyclic18 least significant bit (LSB) substitution method, utilizing LSBs and intermediate LSB planes.$$$Furthermore, the cover image and its planes are rotated at different angles using a secret key prior to embedding, deceiving the attacker during data extraction.$$$The usage of message blocks division, TLEA, image scrambling, and the cyclic18 LSB method results in an advanced security system, maintaining the visual transparency of resultant images and increasing the security of embedded data.$$$In addition, employing various secret keys for image scrambling, data encryption, and data hiding using the cyclic18 LSB method makes the data recovery comparatively more challenging for attackers.$$$Experimental results not only validate the effectiveness of the proposed framework in terms of visual quality and security compared to other state-of-the-art methods, but also suggest its feasibility for secure transmission of diagnostically important keyframes to healthcare centers and gastroenterologists during wireless capsule endoscopy.",OBJECTIVES METHODS METHODS METHODS RESULTS RESULTS CONCLUSIONS
D05906,"Prediction-based transformation is applied to control-affine systems with distributed input delays.$$$Transformed system state is calculated as a prediction of the system's future response to the past input with future input set to zero.$$$Stabilization of the new system leads to Lyapunov-Krasovskii proven stabilization of the original one.$$$Conditions on the original system are: smooth linearly bounded open-loop vector field and smooth uniformly bounded input vectors.$$$About the transformed system which turns out to be affine in the undelayed input but with input vectors dependent on the input history and system state, we assume existence of a linearly bounded stabilizing feedback and quadratically bounded control-Lyapunov function.$$$If all assumptions hold globally, then achieved exponential stability is global, otherwise local.$$$Analytical and numerical control design examples are provided.",METHODS METHODS RESULTS BACKGROUND BACKGROUND RESULTS RESULTS
D04268,"Researchers spend a great deal of time reading research papers.$$$Keshav (2012) provides a three-pass method to researchers to improve their reading skills.$$$This article extends Keshav's method for reading a research compendium.$$$Research compendia are an increasingly used form of publication, which packages not only the research paper's text and figures, but also all data and software for better reproducibility.$$$We introduce the existing conventions for research compendia and suggest how to utilise their shared properties in a structured reading process.$$$Unlike the original, this article is not build upon a long history but intends to provide guidance at the outset of an emerging practice.",BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES METHODS/RESULTS CONCLUSIONS
D02112,"Truck Factor (TF) is a metric proposed by the agile community as a tool to identify concentration of knowledge in software development environments.$$$It states the minimal number of developers that have to be hit by a truck (or quit) before a project is incapacitated.$$$In other words, TF helps to measure how prepared is a project to deal with developer turnover.$$$Despite its clear relevance, few studies explore this metric.$$$Altogether there is no consensus about how to calculate it, and no supporting evidence backing estimates for systems in the wild.$$$To mitigate both issues, we propose a novel (and automated) approach for estimating TF-values, which we execute against a corpus of 133 popular project in GitHub.$$$We later survey developers as a means to assess the reliability of our results.$$$Among others, we find that the majority of our target systems (65%) have TF <= 2.$$$Surveying developers from 67 target systems provides confidence towards our estimates; in 84% of the valid answers we collect, developers agree or partially agree that the TF's authors are the main authors of their systems; in 53% we receive a positive or partially positive answer regarding our estimated truck factors.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS RESULTS
D06321,"The continuing expansion of Internet media consumption has increased traffic volumes, and hence congestion, on access links.$$$In response, both mobile and wireline ISPs must either increase capacity or perform traffic engineering over existing resources.$$$Unfortunately, provisioning timescales are long, the process is costly, and single-homing means operators cannot balance across the last mile.$$$Inspired by energy and transport networks, we propose demand-side management of users to reduce the impact caused by consumption patterns out-pacing that of edge network provision.$$$By directly affecting user behaviour through a range of incentives, our techniques enable resource management over shorter timescales than is possible in conventional networks.$$$Using survey data from 100 participants we explore the feasibility of introducing the principles of demand-side management in today's networks.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS METHODS/RESULTS METHODS/RESULTS
D04912,"We present a framework for learning efficient holistic representation for handwritten word images.$$$The proposed method uses a deep convolutional neural network with traditional classification loss.$$$The major strengths of our work lie in: (i) the efficient usage of synthetic data to pre-train a deep network, (ii) an adapted version of ResNet-34 architecture with region of interest pooling (referred as HWNet v2) which learns discriminative features with variable sized word images, and (iii) realistic augmentation of training data with multiple scales and elastic distortion which mimics the natural process of handwriting.$$$We further investigate the process of fine-tuning at various layers to reduce the domain gap between synthetic and real domain and also analyze the in-variances learned at different layers using recent visualization techniques proposed in literature.$$$Our representation leads to state of the art word spotting performance on standard handwritten datasets and historical manuscripts in different languages with minimal representation size.$$$On the challenging IAM dataset, our method is first to report an mAP above 0.90 for word spotting with a representation size of just 32 dimensions.$$$Further more, we also present results on printed document datasets in English and Indic scripts which validates the generic nature of the proposed framework for learning word image representation.",BACKGROUND METHODS METHODS METHODS RESULTS RESULTS RESULTS
D04349,"Regular languages (RL) are the simplest family in Chomsky's hierarchy.$$$Thanks to their simplicity they enjoy various nice algebraic and logic properties that have been successfully exploited in many application fields.$$$Practically all of their related problems are decidable, so that they support automatic verification algorithms.$$$Also, they can be recognized in real-time.$$$Context-free languages (CFL) are another major family well-suited to formalize programming, natural, and many other classes of languages; their increased generative power w.r.t.$$$RL, however, causes the loss of several closure properties and of the decidability of important problems; furthermore they need complex parsing algorithms.$$$Thus, various subclasses thereof have been defined with different goals, spanning from efficient, deterministic parsing to closure properties, logic characterization and automatic verification techniques.$$$Among CFL subclasses, so-called structured ones, i.e., those where the typical tree-structure is visible in the sentences, exhibit many of the algebraic and logic properties of RL, whereas deterministic CFL have been thoroughly exploited in compiler construction and other application fields.$$$After surveying and comparing the main properties of those various language families, we go back to operator precedence languages (OPL), an old family through which R. Floyd pioneered deterministic parsing, and we show that they offer unexpected properties in two fields so far investigated in totally independent ways: they enable parsing parallelization in a more effective way than traditional sequential parsers, and exhibit the same algebraic and logic properties so far obtained only for less expressive language families.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND/OBJECTIVES BACKGROUND BACKGROUND OBJECTIVES/RESULTS/CONCLUSIONS
D00718,"User Interfaces (UIs) intensively rely on event-driven programming: widgets send UI events, which capture users' interactions, to dedicated objects called controllers.$$$Controllers use several UI listeners that handle these events to produce UI commands.$$$First, we reveal the presence of design smells in the code that describes and controls UIs.$$$Second, we demonstrate that specific code analyses are necessary to analyze and refactor UI code, because of its coupling with the rest of the code.$$$We conducted an empirical study on four large Java Swing and SWT open-source software systems.$$$We study to what extent the number of UI commands that a UI listener can produce has an impact on the change- and fault-proneness of the UI listener code.$$$We develop a static code analysis for detecting UI commands in the code.$$$We identify a new type of design smell, called Blob Listener that characterizes UI listeners that can produce more than two UI commands.$$$We propose a systematic static code analysis procedure that searches for Blob Listeners that we implement in InspectorGuidget.$$$We conducted experiments on the four software systems for which we manually identified 53 instances of Blob Listener.$$$InspectorGuidget successfully detected 52 Blob Listeners out of 53.$$$The results exhibit a precision of 81.25% and a recall of 98.11%.$$$We then developed a semi-automatically and behavior-preserving refactoring process to remove Blob Listeners.$$$49.06% of the 53 Blob Listeners were automatically refactored.$$$Patches for JabRef, and FreeCol have been accepted and merged.$$$Discussions with developers of the four software systems assess the relevance of the Blob Listener.$$$This work shows that UI code also suffers from design smells that have to be identified and characterized.$$$We argue that studies have to be conducted to find other UI design smells and tools that analyze UI code must be developed.",BACKGROUND BACKGROUND OBJECTIVES/RESULTS OBJECTIVES METHODS METHODS METHODS RESULTS METHODS RESULTS RESULTS RESULTS METHODS RESULTS RESULTS RESULTS CONCLUSIONS CONCLUSIONS
D02588,"We propose a new algorithm to the problem of polygonal curve approximation based on a multiresolution approach.$$$This algorithm is suboptimal but still maintains some optimality between successive levels of resolution using dynamic programming.$$$We show theoretically and experimentally that this algorithm has a linear complexity in time and space.$$$We experimentally compare the outcomes of our algorithm to the optimal ""full search"" dynamic programming solution and finally to classical merge and split approaches.$$$The experimental evaluations confirm the theoretical derivations and show that the proposed approach evaluated on 2D coastal maps either show a lower time complexity or provide polygonal approximations closer to the input discrete curves.",RESULTS RESULTS RESULTS RESULTS CONCLUSIONS
D04722,"In this paper we demonstrate the use of intelligent optimization methodologies on the visualization optimization of virtual / simulated environments.$$$The problem of automatic selection of an optimized set of views, which better describes an on-going simulation over a virtual environment is addressed in the context of the RoboCup Rescue Simulation domain.$$$A generic architecture for optimization is proposed and described.$$$We outline the possible extensions of this architecture and argue on how several problems within the fields of Interactive Rendering and Visualization can benefit from it.",BACKGROUND/OBJECTIVES BACKGROUND OBJECTIVES/RESULTS OTHERS
D01947,"Human face analysis is an important task in computer vision.$$$According to cognitive-psychological studies, facial dynamics could provide crucial cues for face analysis.$$$The motion of a facial local region in facial expression is related to the motion of other facial local regions.$$$In this paper, a novel deep learning approach, named facial dynamics interpreter network, has been proposed to interpret the important relations between local dynamics for estimating facial traits from expression sequence.$$$The facial dynamics interpreter network is designed to be able to encode a relational importance, which is used for interpreting the relation between facial local dynamics and estimating facial traits.$$$By comparative experiments, the effectiveness of the proposed method has been verified.$$$The important relations between facial local dynamics are investigated by the proposed facial dynamics interpreter network in gender classification and age estimation.$$$Moreover, experimental results show that the proposed method outperforms the state-of-the-art methods in gender classification and age estimation.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS RESULTS CONCLUSIONS
D01995,"We discuss the scheduling of a set of networked control systems implemented over a shared communication network.$$$Each control loop is described by a linear-time-invariant (LTI) system with an event-triggered implementation.$$$We assume the network can be used by at most one control loop at any time instant and after each controller update, a pre-defined channel occupancy time elapses before the network is available.$$$In our framework we offer the scheduler two options to avoid conflicts: using the event-triggering mechanism, where the scheduler can choose the triggering coefficient; or forcing controller updates at an earlier pre-defined time.$$$Our objective is avoiding communication conflict while guaranteeing stability of all control loops.$$$We formulate the original scheduling problem as a control synthesis problem over a network of timed game automata (NTGA) with a safety objective.$$$The NTGA is obtained by taking the parallel composition of the timed game automata (TGA) associated with the network and with all control loops.$$$The construction of TGA associated with control loops leverages recent results on the abstraction of timing models of event-triggered LTI systems.$$$In our problem, the safety objective is to avoid that update requests from a control loop happen while the network is in use by another task.$$$We showcase the results in some examples.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS METHODS RESULTS
D05586,"Salient object detection is a fundamental problem and has been received a great deal of attentions in computer vision.$$$Recently deep learning model became a powerful tool for image feature extraction.$$$In this paper, we propose a multi-scale deep neural network (MSDNN) for salient object detection.$$$The proposed model first extracts global high-level features and context information over the whole source image with recurrent convolutional neural network (RCNN).$$$Then several stacked deconvolutional layers are adopted to get the multi-scale feature representation and obtain a series of saliency maps.$$$Finally, we investigate a fusion convolution module (FCM) to build a final pixel level saliency map.$$$The proposed model is extensively evaluated on four salient object detection benchmark datasets.$$$Results show that our deep model significantly outperforms other 12 state-of-the-art approaches.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS RESULTS RESULTS
D05484,"Contemporary Deep Neural Network (DNN) contains millions of synaptic connections with tens to hundreds of layers.$$$The large computation and memory requirements pose a challenge to the hardware design.$$$In this work, we leverage the intrinsic activation sparsity of DNN to substantially reduce the execution cycles and the energy consumption.$$$An end-to-end training algorithm is proposed to develop a lightweight run-time predictor for the output activation sparsity on the fly.$$$From our experimental results, the computation overhead of the prediction phase can be reduced to less than 5% of the original feedforward phase with negligible accuracy loss.$$$Furthermore, an energy-efficient hardware architecture, SparseNN, is proposed to exploit both the input and output sparsity.$$$SparseNN is a scalable architecture with distributed memories and processing elements connected through a dedicated on-chip network.$$$Compared with the state-of-the-art accelerators which only exploit the input sparsity, SparseNN can achieve a 10%-70% improvement in throughput and a power reduction of around 50%.",BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS OBJECTIVES METHODS CONCLUSIONS
D06893,"Handwritten recognition (HWR) is the ability of a computer to receive and interpret intelligible handwritten input from source such as paper documents, photographs, touch-screens and other devices.$$$In this paper we will using three (3) classification t o re cognize the handwritten which is SVM, KNN and Neural Network.",BACKGROUND METHODS
D01961,"We propose a novel distributed inference algorithm for continuous graphical models, by extending Stein variational gradient descent (SVGD) to leverage the Markov dependency structure of the distribution of interest.$$$Our approach combines SVGD with a set of structured local kernel functions defined on the Markov blanket of each node, which alleviates the curse of high dimensionality and simultaneously yields a distributed algorithm for decentralized inference tasks.$$$We justify our method with theoretical analysis and show that the use of local kernels can be viewed as a new type of localized approximation that matches the target distribution on the conditional distributions of each node over its Markov blanket.$$$Our empirical results show that our method outperforms a variety of baselines including standard MCMC and particle message passing methods.",OBJECTIVES METHODS RESULTS RESULTS
D01866,"Traffic Matrix estimation has always caught attention from researchers for better network management and future planning.$$$With the advent of high traffic loads due to Cloud Computing platforms and Software Defined Networking based tunable routing and traffic management algorithms on the Internet, it is more necessary as ever to be able to predict current and future traffic volumes on the network.$$$For large networks such origin-destination traffic prediction problem takes the form of a large under-constrained and under-determined system of equations with a dynamic measurement matrix.$$$In this work, we present our Compressed Sensing with Dynamic Model Estimation (CS-DME) architecture suitable for modern software defined networks.$$$Our main contributions are: (1) we formulate an approach in which measurement matrix in the compressed sensing scheme can be accurately and dynamically estimated through a reformulation of the problem based on traffic demands.$$$(2) We show that the problem formulation using a dynamic measurement matrix based on instantaneous traffic demands may be used instead of a stationary binary routing matrix which is more suitable to modern Software Defined Networks that are constantly evolving in terms of routing by inspection of its Eigen Spectrum using two real world datasets.$$$(3) We also show that linking this compressed measurement matrix dynamically with the measured parameters can lead to acceptable estimation of Origin Destination (OD) Traffic flows with marginally poor results with other state-of-art schemes relying on fixed measurement matrices.$$$(4) Furthermore, using this compressed reformulated problem, a new strategy for selection of vantage points for most efficient traffic matrix estimation is also presented through a secondary compression technique based on subset of link measurements.",BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES METHODS METHODS/RESULTS METHODS/RESULTS METHODS
D00920,"Sampling efficiency in a highly constrained environment has long been a major challenge for sampling-based planners.$$$In this work, we propose Rapidly-exploring Random disjointed-Trees* (RRdT*), an incremental optimal multi-query planner.$$$RRdT* uses multiple disjointed-trees to exploit local-connectivity of spaces via Markov Chain random sampling, which utilises neighbourhood information derived from previous successful and failed samples.$$$To balance local exploitation, RRdT* actively explore unseen global spaces when local-connectivity exploitation is unsuccessful.$$$The active trade-off between local exploitation and global exploration is formulated as a multi-armed bandit problem.$$$We argue that the active balancing of global exploration and local exploitation is the key to improving sample efficient in sampling-based motion planners.$$$We provide rigorous proofs of completeness and optimal convergence for this novel approach.$$$Furthermore, we demonstrate experimentally the effectiveness of RRdT*'s locally exploring trees in granting improved visibility for planning.$$$Consequently, RRdT* outperforms existing state-of-the-art incremental planners, especially in highly constrained environments.",BACKGROUND OBJECTIVES METHODS METHODS METHODS OBJECTIVES/CONCLUSIONS METHODS/RESULTS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS
D00048,"Policy gradient is an efficient technique for improving a policy in a reinforcement learning setting.$$$However, vanilla online variants are on-policy only and not able to take advantage of off-policy data.$$$In this paper we describe a new technique that combines policy gradient with off-policy Q-learning, drawing experience from a replay buffer.$$$This is motivated by making a connection between the fixed points of the regularized policy gradient algorithm and the Q-values.$$$This connection allows us to estimate the Q-values from the action preferences of the policy, to which we apply Q-learning updates.$$$We refer to the new technique as 'PGQL', for policy gradient and Q-learning.$$$We also establish an equivalency between action-value fitting techniques and actor-critic algorithms, showing that regularized policy gradient techniques can be interpreted as advantage function learning algorithms.$$$We conclude with some numerical examples that demonstrate improved data efficiency and stability of PGQL.$$$In particular, we tested PGQL on the full suite of Atari games and achieved performance exceeding that of both asynchronous advantage actor-critic (A3C) and Q-learning.",BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES OBJECTIVES METHODS OBJECTIVES RESULTS RESULTS
D06074,"Hosting platforms for software projects can form collaborative social networks and a prime example of this is GitHub which is arguably the most popular platform of this kind.$$$An open source project recommendation system could be a major feature for a platform like GitHub, enabling its users to find relevant projects in a fast and simple manner.$$$We perform network analysis on a constructed graph based on GitHub data and present a recommendation system that uses link prediction.",BACKGROUND OBJECTIVES METHODS
D06775,"Differential privacy is a promising approach to privacy preserving data analysis with a well-developed theory for functions.$$$Despite recent work on implementing systems that aim to provide differential privacy, the problem of formally verifying that these systems have differential privacy has not been adequately addressed.$$$This paper presents the first results towards automated verification of source code for differentially private interactive systems.$$$We develop a formal probabilistic automaton model of differential privacy for systems by adapting prior work on differential privacy for functions.$$$The main technical result of the paper is a sound proof technique based on a form of probabilistic bisimulation relation for proving that a system modeled as a probabilistic automaton satisfies differential privacy.$$$The novelty lies in the way we track quantitative privacy leakage bounds using a relation family instead of a single relation.$$$We illustrate the proof technique on a representative automaton motivated by PINQ, an implemented system that is intended to provide differential privacy.$$$To make our proof technique easier to apply to realistic systems, we prove a form of refinement theorem and apply it to show that a refinement of the abstract PINQ automaton also satisfies our differential privacy definition.$$$Finally, we begin the process of automating our proof technique by providing an algorithm for mechanically checking a restricted class of relations from the proof technique.",BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS/CONCLUSIONS METHODS METHODS RESULTS METHODS
D03550,"Publications in the life sciences are characterized by a large technical vocabulary, with many lexical and semantic variations for expressing the same concept.$$$Towards addressing the problem of relevance in biomedical literature search, we introduce a deep learning model for the relevance of a document's text to a keyword style query.$$$Limited by a relatively small amount of training data, the model uses pre-trained word embeddings.$$$With these, the model first computes a variable-length Delta matrix between the query and document, representing a difference between the two texts, which is then passed through a deep convolution stage followed by a deep feed-forward network to compute a relevance score.$$$This results in a fast model suitable for use in an online search engine.$$$The model is robust and outperforms comparable state-of-the-art deep learning approaches.",BACKGROUND OBJECTIVES/METHODS METHODS METHODS RESULTS RESULTS/CONCLUSIONS
D06858,"In general the problem of finding a miminum spanning tree for a weighted directed graph is difficult but solvable.$$$There are a lot of differences between problems for directed and undirected graphs, therefore the algorithms for undirected graphs cannot usually be applied to the directed case.$$$In this paper we examine the kind of weights such that the problems are equivalent and a minimum spanning tree of a directed graph may be found by a simple algorithm for an undirected graph.",BACKGROUND METHODS RESULTS
D00648,"Deep neural networks have been shown to achieve state-of-the-art performance in several machine learning tasks.$$$Stochastic Gradient Descent (SGD) is the preferred optimization algorithm for training these networks and asynchronous SGD (ASGD) has been widely adopted for accelerating the training of large-scale deep networks in a distributed computing environment.$$$However, in practice it is quite challenging to tune the training hyperparameters (such as learning rate) when using ASGD so as achieve convergence and linear speedup, since the stability of the optimization algorithm is strongly influenced by the asynchronous nature of parameter updates.$$$In this paper, we propose a variant of the ASGD algorithm in which the learning rate is modulated according to the gradient staleness and provide theoretical guarantees for convergence of this algorithm.$$$Experimental verification is performed on commonly-used image classification benchmarks: CIFAR10 and Imagenet to demonstrate the superior effectiveness of the proposed approach, compared to SSGD (Synchronous SGD) and the conventional ASGD algorithm.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES RESULTS
D03657,"In this article we show how power transformations can be used as a common framework for the derivation of local term weights.$$$We found that under some parametric conditions, BM25 and inverse regression produce equivalent results.$$$As a special case of inverse regression, we show that the largest increment in term weight occurs when a term is mentioned for the second time.$$$A model based on inverse regression (BM25IR) is presented.$$$Simulations suggest that BM25IR works fairly well for different BM25 parametric conditions and document lengths.",BACKGROUND/OBJECTIVES/CONCLUSIONS METHODS/RESULTS RESULTS OBJECTIVES/CONCLUSIONS CONCLUSIONS
